epoch,loss,mae,val_loss,val_mae,learning_rate
1,23.000391006469727,0.4589734673500061,24.07828140258789,0.4720041751861572,0.0005000000237487257
2,20.405792236328125,0.38900139927864075,24.460853576660156,0.4944513440132141,0.0005000000237487257
3,19.97170639038086,0.37843599915504456,23.39255714416504,0.448315292596817,0.0005000000237487257
4,19.646657943725586,0.36911022663116455,23.840539932250977,0.4544120728969574,0.0005000000237487257
5,19.499866485595703,0.36627447605133057,23.922035217285156,0.45601528882980347,0.0005000000237487257
6,19.487545013427734,0.3663378953933716,23.44622802734375,0.4713934659957886,0.0005000000237487257
7,19.374879837036133,0.36356016993522644,23.359312057495117,0.4540488123893738,0.0005000000237487257
8,19.263525009155273,0.35884594917297363,23.612884521484375,0.4569864273071289,0.0005000000237487257
9,19.138458251953125,0.3577859401702881,23.5926456451416,0.45413878560066223,0.0005000000237487257
10,18.975852966308594,0.3534668982028961,23.22810935974121,0.4385205805301666,0.0005000000237487257
11,18.999753952026367,0.35625365376472473,23.670473098754883,0.44306591153144836,0.0005000000237487257
12,18.850698471069336,0.35128310322761536,22.665517807006836,0.4444105923175812,0.0005000000237487257
13,18.805017471313477,0.34975478053092957,23.632665634155273,0.46160823106765747,0.0005000000237487257
14,18.77760887145996,0.34834811091423035,23.54667854309082,0.44494694471359253,0.0005000000237487257
15,18.779783248901367,0.35049912333488464,24.047544479370117,0.4662717580795288,0.0005000000237487257
16,18.802623748779297,0.3509399890899658,23.19024658203125,0.44869741797447205,0.0005000000237487257
17,18.671512603759766,0.34919020533561707,23.141122817993164,0.4455927610397339,0.0005000000237487257
18,18.640913009643555,0.34762653708457947,23.206401824951172,0.4512358605861664,0.0005000000237487257
19,18.32737159729004,0.3407333195209503,23.398603439331055,0.44533103704452515,0.0002500000118743628
20,18.247304916381836,0.3388940393924713,23.41206169128418,0.45403623580932617,0.0002500000118743628
21,18.161359786987305,0.3387577533721924,23.25550651550293,0.4507540762424469,0.0002500000118743628
22,18.184995651245117,0.3382294476032257,23.082469940185547,0.44054192304611206,0.0002500000118743628
23,18.075380325317383,0.335715651512146,23.064496994018555,0.4467878043651581,0.0002500000118743628
24,18.080610275268555,0.33495232462882996,23.20977020263672,0.4531177580356598,0.0002500000118743628
