camera_id,source_video,date,time,period,vehicle_count_1min,volume_veh_per_hour,avg_speed_kmh,queue_length_veh,wait_time_min,green_seconds,density_percent,weather_temp_c,accident_count,roadwork_flag,event_flag,is_holiday,hour,minute,day,day_of_week,month,is_weekend,hour_sin,hour_cos,weather_condition_Clear,weather_condition_Cloudy,weather_condition_Hot,weather_condition_Rain
CAM_004,pagi_cctv_022_20260614_090032.mp4,6/14/2026,9:00:32,Daytime,71.0,4260.0,81.94,0.0,0.0,47.7,50.34,28.5,0.0,0.0,0.0,0.0,4,4,15,0,6,0,0.8660254037844386,0.5000000000000001,0.0,1.0,0.0,0.0
CAM_007,pagi_cctv_023_20260614_090010.mp4,6/14/2026,9:00:10,Daytime,36.0,2160.0,71.39,0.0,0.0,37.5,9.39,28.5,0.0,0.0,0.0,0.0,4,4,15,0,6,0,0.8660254037844386,0.5000000000000001,0.0,1.0,0.0,0.0
CAM_012,pagi_cctv_024_20260614_083635.mp4,6/14/2026,8:36:35,Morning Rush,78.0,4680.0,76.15,7.0,2.8,59.7,51.39,29.3,0.0,0.0,0.0,0.0,4,4,15,0,6,0,0.8660254037844386,0.5000000000000001,0.0,1.0,0.0,0.0
CAM_010,pagi_cctv_025_20260614_085807.mp4,6/14/2026,8:58:07,Morning Rush,126.0,7560.0,39.04,6.0,2.4,65.6,51.21,28.9,0.0,0.0,0.0,0.0,4,4,15,0,6,0,0.8660254037844386,0.5000000000000001,0.0,1.0,0.0,0.0
CAM_002,pagi_cctv_026_20260614_083559.mp4,6/14/2026,8:35:59,Morning Rush,63.0,3780.0,64.57,0.0,0.0,45.7,32.08,28.5,0.0,0.0,0.0,0.0,4,4,15,0,6,0,0.8660254037844386,0.5000000000000001,0.0,1.0,0.0,0.0
CAM_008,pagi_cctv_027_20260614_085504.mp4,6/14/2026,8:55:04,Morning Rush,167.0,10020.0,59.95,4.0,1.6,58.4,51.44,28.5,0.0,0.0,0.0,0.0,4,4,15,0,6,0,0.8660254037844386,0.5000000000000001,0.0,1.0,0.0,0.0
CAM_007,pagi_cctv_028_20260614_083354.mp4,6/14/2026,8:33:54,Morning Rush,81.0,4860.0,78.91,0.0,0.0,48.3,50.32,28.5,0.0,0.0,0.0,0.0,4,4,15,0,6,0,0.8660254037844386,0.5000000000000001,0.0,1.0,0.0,0.0
CAM_010,siang_cctv_001_20260518_163906.mp4,5/18/2026,15:49:02,Daytime,92.0,5520.0,54.74,7.0,2.8,63.9,51.31,29.9,0.0,0.0,0.0,0.0,4,4,15,0,6,0,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,1.0
CAM_010,siang_cctv_002_20260614_163126.mp4,6/14/2026,16:31:26,Evening Rush,215.0,12900.0,34.16,1.0,0.4,59.0,51.22,29.6,0.0,0.0,0.0,0.0,4,4,15,0,6,0,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,1.0
CAM_003,siang_cctv_003_20260518_165921.mp4,5/18/2026,16:17:21,Evening Rush,7.0,420.0,6.61,10.0,4.0,70.6,26.47,29.7,0.0,0.0,0.0,0.0,4,4,15,0,6,0,0.8660254037844386,0.5000000000000001,1.0,0.0,0.0,0.0
CAM_005,siang_cctv_004_20260518_170659.mp4,5/18/2026,16:13:00,Evening Rush,248.0,14880.0,29.31,1.0,0.4,60.3,52.24,29.9,0.0,0.0,0.0,0.0,4,4,15,0,6,0,0.8660254037844386,0.5000000000000001,1.0,0.0,0.0,0.0
CAM_011,siang_cctv_005_20260518_171425.mp4,5/18/2026,16:24:23,Evening Rush,139.0,8340.0,22.84,109.0,43.6,90.0,57.54,29.9,0.0,0.0,0.0,0.0,4,4,15,0,6,0,0.8660254037844386,0.5000000000000001,1.0,0.0,0.0,0.0
CAM_003,siang_cctv_006_20260614_170915.mp4,6/14/2026,17:09:15,Evening Rush,171.0,10260.0,38.76,8.0,3.2,68.9,52.27,28.7,0.0,0.0,0.0,0.0,4,4,15,0,6,0,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,1.0
CAM_011,siang_cctv_007_20260518_160452.mp4,5/18/2026,15:08:58,Daytime,117.0,7020.0,57.98,2.0,0.8,55.6,50.8,30.5,0.0,0.0,0.0,0.0,4,4,15,0,6,0,0.8660254037844386,0.5000000000000001,0.0,1.0,0.0,0.0
CAM_011,siang_cctv_008_20260518_151934.mp4,5/18/2026,14:23:40,Daytime,129.0,7740.0,71.71,0.0,0.0,38.9,14.1,31.3,0.0,0.0,0.0,0.0,4,4,15,0,6,0,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,1.0
CAM_004,siang_cctv_009_20260614_170730.mp4,6/14/2026,17:07:30,Evening Rush,155.0,9300.0,65.44,1.0,0.4,52.7,50.91,29.2,0.0,0.0,0.0,0.0,4,4,15,0,6,0,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,1.0
CAM_012,siang_cctv_010_20260614_171050.mp4,6/14/2026,17:10:50,Evening Rush,114.0,6840.0,70.12,8.0,3.2,62.4,51.46,29.9,0.0,0.0,0.0,0.0,4,4,15,0,6,0,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,1.0
CAM_005,siang_cctv_011_20260614_171352.mp4,6/14/2026,17:13:52,Evening Rush,3.0,180.0,2.46,0.0,0.0,49.1,2.11,29.6,0.0,0.0,0.0,0.0,4,4,15,0,6,0,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,1.0
CAM_007,siang_cctv_012_20260614_165224.mp4,6/14/2026,16:52:24,Evening Rush,100.0,6000.0,34.27,1.0,0.4,48.0,14.48,29.2,0.0,0.0,0.0,0.0,4,4,15,0,6,0,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,1.0
CAM_008,siang_cctv_013_20260614_171437.mp4,6/14/2026,17:14:37,Evening Rush,307.0,18420.0,46.62,1.0,0.4,56.8,51.97,29.2,0.0,0.0,0.0,0.0,4,4,15,0,6,0,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,1.0
CAM_001,siang_cctv_016_20260614_171739.mp4,6/14/2026,17:17:39,Evening Rush,55.0,3300.0,75.3,0.0,0.0,34.2,0.85,28.6,0.0,0.0,0.0,0.0,4,4,15,0,6,0,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,1.0
CAM_009,siang_cctv_017_20260614_171746.mp4,6/14/2026,17:17:46,Evening Rush,209.0,12540.0,36.96,1.0,0.4,58.4,50.84,29.6,0.0,0.0,0.0,0.0,4,4,15,0,6,0,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,1.0
CAM_011,siang_cctv_018_20260614_171903.mp4,6/14/2026,17:19:03,Evening Rush,44.0,2640.0,30.52,2.0,0.8,52.7,22.83,29.6,0.0,0.0,0.0,0.0,4,4,15,0,6,0,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,1.0
CAM_002,siang_cctv_019_20260614_172002.mp4,6/14/2026,17:20:02,Evening Rush,83.0,4980.0,21.15,24.0,9.6,90.0,56.98,29.2,0.0,0.0,0.0,0.0,4,4,15,0,6,0,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,1.0
CAM_003,siang_cctv_020_20260614_165923.mp4,6/14/2026,16:59:23,Evening Rush,200.0,12000.0,41.53,2.0,0.8,58.7,49.92,28.7,0.0,0.0,0.0,0.0,4,4,15,0,6,0,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,1.0
CAM_003,siang_cctv_021_20260614_163509.mp4,6/14/2026,16:35:09,Evening Rush,154.0,9240.0,64.29,4.0,1.6,57.5,51.29,28.7,0.0,0.0,0.0,0.0,4,4,15,0,6,0,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,1.0
CAM_011,siang_cctv_022_20260614_163451.mp4,6/14/2026,16:34:51,Evening Rush,60.0,3600.0,32.67,0.0,0.0,43.2,2.55,29.6,0.0,0.0,0.0,0.0,4,4,15,0,6,0,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,1.0
CAM_007,siang_cctv_023_20260614_163809.mp4,6/14/2026,16:38:09,Evening Rush,134.0,8040.0,31.84,7.0,2.8,68.8,52.11,29.2,0.0,0.0,0.0,0.0,4,4,15,0,6,0,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,1.0
CAM_001,siang_cctv_024_20260614_165240.mp4,6/14/2026,16:52:40,Evening Rush,42.0,2520.0,31.31,9.0,3.6,71.7,51.55,28.6,0.0,0.0,0.0,0.0,4,4,15,0,6,0,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,1.0
CAM_005,siang_cctv_025_20260614_163232.mp4,6/14/2026,16:32:32,Evening Rush,15.0,900.0,7.13,18.0,7.2,86.5,39.68,29.6,0.0,0.0,0.0,0.0,4,4,15,0,6,0,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,1.0
CAM_009,siang_cctv_026_20260614_163931.mp4,6/14/2026,16:39:31,Evening Rush,208.0,12480.0,32.27,2.0,0.8,60.9,51.21,29.6,0.0,0.0,0.0,0.0,4,4,15,0,6,0,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,1.0
CAM_004,siang_cctv_027_20260614_165147.mp4,6/14/2026,16:51:47,Evening Rush,105.0,6300.0,79.08,0.0,0.0,43.1,33.16,29.2,0.0,0.0,0.0,0.0,4,4,15,0,6,0,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,1.0
CAM_011,siang_cctv_028_20260614_165607.mp4,6/14/2026,16:56:07,Evening Rush,56.0,3360.0,29.79,8.0,3.2,70.5,51.41,29.6,0.0,0.0,0.0,0.0,4,4,15,0,6,0,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,1.0
CAM_012,siang_cctv_029_20260614_164109.mp4,6/14/2026,16:41:09,Evening Rush,122.0,7320.0,77.64,1.0,0.4,45.9,36.4,29.9,0.0,0.0,0.0,0.0,4,4,15,0,6,0,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,1.0
