image,approach,vehicle_count_1min,volume_veh_per_hour,queue_length_veh,density_percent,avg_speed_kmh
frame_0043,LEFT,5,300,0,12.580499649047852,45.0
frame_0043,CENTER,2,120,0,6.203000068664551,55.0
frame_0043,RIGHT,1,60,0,4.660900115966797,55.0
frame_0325,LEFT,5,300,0,6.620500087738037,55.0
frame_0325,CENTER,5,300,0,6.377399921417236,55.0
frame_0325,RIGHT,0,0,0,0.0,60.0
frame_0262,LEFT,6,360,0,12.744799613952637,45.0
frame_0262,CENTER,6,360,0,5.20389986038208,55.0
frame_0262,RIGHT,0,0,0,0.0,60.0
frame_0094,LEFT,3,180,0,5.8144001960754395,55.0
frame_0094,CENTER,3,180,0,11.39330005645752,45.0
frame_0094,RIGHT,0,0,0,0.0,60.0
frame_0108,LEFT,2,120,0,15.64680004119873,45.0
frame_0108,CENTER,4,240,0,12.213399887084961,45.0
frame_0108,RIGHT,0,0,0,0.0,60.0
frame_0007,LEFT,5,300,0,6.248899936676025,55.0
frame_0007,CENTER,3,180,0,5.630899906158447,55.0
frame_0007,RIGHT,0,0,0,0.0,60.0
frame_0300,LEFT,5,300,0,2.9200000762939453,55.0
frame_0300,CENTER,6,360,0,13.464599609375,45.0
frame_0300,RIGHT,0,0,0,0.0,60.0
frame_0184,LEFT,4,240,0,3.4240000247955322,55.0
frame_0184,CENTER,3,180,0,0.9894000291824341,55.0
frame_0184,RIGHT,0,0,0,0.0,60.0
frame_0165,LEFT,3,180,0,5.147799968719482,55.0
frame_0165,CENTER,7,420,0,8.625200271606445,55.0
frame_0165,RIGHT,0,0,0,0.0,60.0
frame_0195,LEFT,4,240,0,6.418000221252441,55.0
frame_0195,CENTER,3,180,0,1.2928999662399292,55.0
frame_0195,RIGHT,0,0,0,0.0,60.0
frame_0091,LEFT,3,180,0,4.598199844360352,55.0
frame_0091,CENTER,3,180,0,11.409500122070312,45.0
frame_0091,RIGHT,0,0,0,0.0,60.0
frame_0314,LEFT,4,240,0,3.79229998588562,55.0
frame_0314,CENTER,6,360,0,5.714799880981445,55.0
frame_0314,RIGHT,0,0,0,0.0,60.0
frame_0104,LEFT,3,180,0,11.642000198364258,45.0
frame_0104,CENTER,3,180,0,13.65410041809082,45.0
frame_0104,RIGHT,0,0,0,0.0,60.0
frame_0018,LEFT,6,360,0,12.7524995803833,45.0
frame_0018,CENTER,2,120,0,5.320099830627441,55.0
frame_0018,RIGHT,0,0,0,0.0,60.0
frame_0347,LEFT,6,360,1,25.57469940185547,35.0
frame_0347,CENTER,4,240,0,10.638299942016602,45.0
frame_0347,RIGHT,0,0,0,0.0,60.0
frame_0128,LEFT,5,300,0,2.1882998943328857,55.0
frame_0128,CENTER,3,180,0,4.332699775695801,55.0
frame_0128,RIGHT,0,0,0,0.0,60.0
frame_0315,LEFT,4,240,0,3.8248000144958496,55.0
frame_0315,CENTER,6,360,0,5.686299800872803,55.0
frame_0315,RIGHT,0,0,0,0.0,60.0
frame_0189,LEFT,4,240,0,4.51609992980957,55.0
frame_0189,CENTER,5,300,0,1.7239999771118164,55.0
frame_0189,RIGHT,0,0,0,0.0,60.0
frame_0042,LEFT,5,300,0,11.342700004577637,45.0
frame_0042,CENTER,2,120,0,6.116399765014648,55.0
frame_0042,RIGHT,1,60,0,4.584000110626221,55.0
frame_0216,LEFT,3,180,0,6.329899787902832,55.0
frame_0216,CENTER,5,300,0,2.928100109100342,55.0
frame_0216,RIGHT,0,0,0,0.0,60.0
frame_0287,LEFT,6,360,0,8.7923002243042,55.0
frame_0287,CENTER,6,360,0,10.079999923706055,45.0
frame_0287,RIGHT,0,0,0,0.0,60.0
frame_0308,LEFT,4,240,0,3.148699998855591,55.0
frame_0308,CENTER,7,420,0,9.466400146484375,55.0
frame_0308,RIGHT,0,0,0,0.0,60.0
frame_0093,LEFT,3,180,0,5.3282999992370605,55.0
frame_0093,CENTER,3,180,0,10.915200233459473,45.0
frame_0093,RIGHT,0,0,0,0.0,60.0
frame_0006,LEFT,5,300,0,5.6244001388549805,55.0
frame_0006,CENTER,3,180,0,5.6803998947143555,55.0
frame_0006,RIGHT,0,0,0,0.0,60.0
frame_0311,LEFT,4,240,0,3.2300000190734863,55.0
frame_0311,CENTER,6,360,0,5.4085001945495605,55.0
frame_0311,RIGHT,0,0,0,0.0,60.0
frame_0171,LEFT,3,180,0,1.5550999641418457,55.0
frame_0171,CENTER,6,360,0,6.156499862670898,55.0
frame_0171,RIGHT,0,0,0,0.0,60.0
frame_0123,LEFT,3,180,0,1.5994999408721924,55.0
frame_0123,CENTER,2,120,0,6.658999919891357,55.0
frame_0123,RIGHT,0,0,0,0.0,60.0
frame_0005,LEFT,6,360,0,5.855800151824951,55.0
frame_0005,CENTER,3,180,0,5.776800155639648,55.0
frame_0005,RIGHT,0,0,0,0.0,60.0
frame_0209,LEFT,5,300,0,12.077400207519531,45.0
frame_0209,CENTER,6,360,0,2.9960999488830566,55.0
frame_0209,RIGHT,0,0,0,0.0,60.0
frame_0153,LEFT,2,120,0,8.503800392150879,55.0
frame_0153,CENTER,6,360,0,9.775899887084961,55.0
frame_0153,RIGHT,0,0,0,0.0,60.0
frame_0292,LEFT,5,300,0,2.4948999881744385,55.0
frame_0292,CENTER,6,360,0,12.06659984588623,45.0
frame_0292,RIGHT,0,0,0,0.0,60.0
frame_0067,LEFT,4,240,0,15.70009994506836,45.0
frame_0067,CENTER,3,180,0,7.497200012207031,55.0
frame_0067,RIGHT,1,60,0,10.397700309753418,45.0
frame_0068,LEFT,4,240,0,16.041799545288086,45.0
frame_0068,CENTER,3,180,0,7.457300186157227,55.0
frame_0068,RIGHT,1,60,0,10.722000122070312,45.0
frame_0245,LEFT,5,300,0,5.240300178527832,55.0
frame_0245,CENTER,6,360,0,4.39169979095459,55.0
frame_0245,RIGHT,0,0,0,0.0,60.0
frame_0016,LEFT,6,360,0,10.959600448608398,45.0
frame_0016,CENTER,2,120,0,5.283699989318848,55.0
frame_0016,RIGHT,0,0,0,0.0,60.0
frame_0237,LEFT,6,360,0,3.454900026321411,55.0
